id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2007-39,12
frozen-yogurt,/m/020b3f,2007-40,13
frozen-yogurt,/m/020b3f,2007-41,12
frozen-yogurt,/m/020b3f,2007-42,9
frozen-yogurt,/m/020b3f,2007-43,19
frozen-yogurt,/m/020b3f,2007-44,7
frozen-yogurt,/m/020b3f,2007-45,10
frozen-yogurt,/m/020b3f,2007-46,6
frozen-yogurt,/m/020b3f,2007-47,9
frozen-yogurt,/m/020b3f,2007-48,7
frozen-yogurt,/m/020b3f,2007-49,11
frozen-yogurt,/m/020b3f,2007-50,6
frozen-yogurt,/m/020b3f,2007-51,15
frozen-yogurt,/m/020b3f,2007-52,15
frozen-yogurt,/m/020b3f,2008-01,14
frozen-yogurt,/m/020b3f,2008-02,15
frozen-yogurt,/m/020b3f,2008-03,16
frozen-yogurt,/m/020b3f,2008-04,15
frozen-yogurt,/m/020b3f,2008-05,11
frozen-yogurt,/m/020b3f,2008-06,18
frozen-yogurt,/m/020b3f,2008-07,14
frozen-yogurt,/m/020b3f,2008-08,9
frozen-yogurt,/m/020b3f,2008-09,16
frozen-yogurt,/m/020b3f,2008-10,22
frozen-yogurt,/m/020b3f,2008-11,13
frozen-yogurt,/m/020b3f,2008-12,12
frozen-yogurt,/m/020b3f,2008-13,14
frozen-yogurt,/m/020b3f,2008-14,16
frozen-yogurt,/m/020b3f,2008-15,26
frozen-yogurt,/m/020b3f,2008-16,26
frozen-yogurt,/m/020b3f,2008-17,16
frozen-yogurt,/m/020b3f,2008-18,31
frozen-yogurt,/m/020b3f,2008-19,16
frozen-yogurt,/m/020b3f,2008-20,27
frozen-yogurt,/m/020b3f,2008-21,31
frozen-yogurt,/m/020b3f,2008-22,25
frozen-yogurt,/m/020b3f,2008-23,34
frozen-yogurt,/m/020b3f,2008-24,31
frozen-yogurt,/m/020b3f,2008-25,36
frozen-yogurt,/m/020b3f,2008-26,34
frozen-yogurt,/m/020b3f,2008-27,35
frozen-yogurt,/m/020b3f,2008-28,38
frozen-yogurt,/m/020b3f,2008-29,30
frozen-yogurt,/m/020b3f,2008-30,34
frozen-yogurt,/m/020b3f,2008-31,27
frozen-yogurt,/m/020b3f,2008-32,33
frozen-yogurt,/m/020b3f,2008-33,26
frozen-yogurt,/m/020b3f,2008-34,24
frozen-yogurt,/m/020b3f,2008-35,26
frozen-yogurt,/m/020b3f,2008-36,20
frozen-yogurt,/m/020b3f,2008-37,24
frozen-yogurt,/m/020b3f,2008-38,16
frozen-yogurt,/m/020b3f,2008-39,20
frozen-yogurt,/m/020b3f,2008-40,13
frozen-yogurt,/m/020b3f,2008-41,16
frozen-yogurt,/m/020b3f,2008-42,14
frozen-yogurt,/m/020b3f,2008-43,11
frozen-yogurt,/m/020b3f,2008-44,15
frozen-yogurt,/m/020b3f,2008-45,13
frozen-yogurt,/m/020b3f,2008-46,12
frozen-yogurt,/m/020b3f,2008-47,11
frozen-yogurt,/m/020b3f,2008-48,11
frozen-yogurt,/m/020b3f,2008-49,8
frozen-yogurt,/m/020b3f,2008-50,5
frozen-yogurt,/m/020b3f,2008-51,9
frozen-yogurt,/m/020b3f,2008-52,15
frozen-yogurt,/m/020b3f,2009-01,16
frozen-yogurt,/m/020b3f,2009-02,18
frozen-yogurt,/m/020b3f,2009-03,15
frozen-yogurt,/m/020b3f,2009-04,17
frozen-yogurt,/m/020b3f,2009-05,17
frozen-yogurt,/m/020b3f,2009-06,20
frozen-yogurt,/m/020b3f,2009-07,17
frozen-yogurt,/m/020b3f,2009-08,17
frozen-yogurt,/m/020b3f,2009-09,17
frozen-yogurt,/m/020b3f,2009-10,20
frozen-yogurt,/m/020b3f,2009-11,19
frozen-yogurt,/m/020b3f,2009-12,21
frozen-yogurt,/m/020b3f,2009-13,23
frozen-yogurt,/m/020b3f,2009-14,24
frozen-yogurt,/m/020b3f,2009-15,20
frozen-yogurt,/m/020b3f,2009-16,27
frozen-yogurt,/m/020b3f,2009-17,27
frozen-yogurt,/m/020b3f,2009-18,27
